forecast_origin,group,strategy,lambda1_1,lambda2_1,lambda3_1,lambda4_1,lambda5_1
2005-01-31,+0 months,mango_rmse,6.814027266549923,9.18357847423806,1.0,3.8828882083765888,0.4441565748927665
2005-02-28,+1 month,mango_rmse,5.136630808755086,3.076726350048719,1.0,8.20204669051524,8.711525879980679
2005-03-31,+2 months,mango_rmse,0.3324745451274605,7.833898940604992,1.0,3.8953124222607767,2.777168598518413
2005-04-30,+0 months,mango_rmse,10.029240060382083,0.11530277727833402,1.0,5.392091661264195,8.73712702534043
2005-05-31,+1 month,mango_rmse,19.36960034082934,3.034222987773508,1.0,4.176327951937201,6.593036537399744
2005-06-30,+2 months,mango_rmse,4.789936100935773,1.3469143202937186,1.0,7.967407852793612,1.8537616266299004
2005-07-31,+0 months,mango_rmse,15.860158576768777,0.8287194543513847,1.0,6.844216558000825,6.825377498937062
2005-08-31,+1 month,mango_rmse,12.949632760258593,4.133319001534558,1.0,7.325655500149574,2.2046385379659403
2005-09-30,+2 months,mango_rmse,8.702782100377327,6.348560996393241,1.0,8.52404215010079,6.0262334321785
2005-10-31,+0 months,mango_rmse,13.424335740077058,4.411197410796606,1.0,3.396188661261941,5.980582747776698
2005-11-30,+1 month,mango_rmse,11.225121937871684,0.25018423298475057,1.0,7.640570235084356,3.09784446391299
2005-12-31,+2 months,mango_rmse,11.818780573768256,1.948796396861607,1.0,9.567224793390016,3.8203828601403615
2006-01-31,+0 months,mango_rmse,9.385022393487791,9.558834871802881,1.0,9.751572880285211,4.38564259236323
2006-02-28,+1 month,mango_rmse,12.41150082789543,0.40169646780540536,1.0,7.093906573594814,1.3649013576023812
2006-03-31,+2 months,mango_rmse,19.111997077691342,6.441010402212191,1.0,4.159045259456242,6.929365989115945
2006-04-30,+0 months,mango_rmse,13.430013268682545,2.9296482973412257,1.0,8.86854901433806,8.96990600125624
2006-05-31,+1 month,mango_rmse,15.291781424389807,4.959185651335322,1.0,4.4336562699768765,3.345943961095052
2006-06-30,+2 months,mango_rmse,4.906057294838488,6.531794663692453,1.0,3.270771210400166,3.8819437792016847
2006-07-31,+0 months,mango_rmse,15.005170898420694,5.77088295456229,1.0,4.402353506997961,7.582632553316691
2006-08-31,+1 month,mango_rmse,4.7752221817572735,2.502461569112869,1.0,5.0065867549419965,3.1690753476944646
2006-09-30,+2 months,mango_rmse,18.37133225007273,1.720839254629654,1.0,9.732869814147739,4.07188233877973
2006-10-31,+0 months,mango_rmse,15.862208993638816,2.507131857243826,1.0,0.39962446959405024,5.285893403936308
2006-11-30,+1 month,mango_rmse,7.65756937211862,3.253254109471091,1.0,9.418176280418763,4.535070126614704
2006-12-31,+2 months,mango_rmse,5.341792551033751,5.248174975964181,1.0,3.054533589777556,2.4986974940505595
